id	AnimalID	Timepoint	Diet	Treatment	Treament-Descr	Timepoint-Descr
M036	5A	13	Control	Control	Control	PostFMTD6
M037	2E	22	Control	FMT-control	Control+FMT-control	PostC.diffDay1-PreFMT3
M038	6C	7	Control	Consortium	Control+Consortium	PreFMT
M039	2G	8	Control	FMT-GOS	Control+FMT-GOS	PostFMTD1
M040	1H	27	GOS	FMT-GOS	GOS+FMT-GOS	PostC.diffDay6
M041	3A	31	Control	Control	Control	EndpointColonContent
M042	8D	27	GOS	Consortium	GOS+Consortium	PostC.diffDay6
M043	2E	0	Control	FMT-control	Control+FMT-control	PostStandardization
M044	4E	21	Control	FMT-control	Control+FMT-control	PreC.diff-PostFMT2
M045	8D	12	GOS	Consortium	GOS+Consortium	PostFMTD5
M046	2C	7	Control	Consortium	Control+Consortium	PreFMT
M047	2G	22	Control	FMT-GOS	Control+FMT-GOS	PostC.diffDay1-PreFMT3
M048	4C	26	Control	Consortium	Control+Consortium	PostC.diffDay5
M049	1F	0	GOS	FMT-control	GOS+FMT-control	PostStandardization
M050	4F	29	GOS	FMT-control	GOS+FMT-control	PostC.diffDay8
M051	4E	31	Control	FMT-control	Control+FMT-control	EndpointColonContent
M052	1A	22	Control	Control	Control	PostC.diffDay1-PreFMT3
M053	2B	27	GOS	Control	GOS	PostC.diffDay6
M054	1G	26	Control	FMT-GOS	Control+FMT-GOS	PostC.diffDay5
M055	1F	12	GOS	FMT-control	GOS+FMT-control	PostFMTD5
M056	1F	26	GOS	FMT-control	GOS+FMT-control	PostC.diffDay5
M057	2A	8	Control	Control	Control	PostFMTD1
M058	7C	8	Control	Consortium	Control+Consortium	PostFMTD1
M059	6C	14	Control	Consortium	Control+Consortium	PostFMTD7-PreAntibiotics
M060	2A	29	Control	Control	Control	PostC.diffDay8
M061	2G	30	Control	FMT-GOS	Control+FMT-GOS	PostC.diffDay9
M062	3E	23	Control	FMT-control	Control+FMT-control	PostC.diffDay2
M063	2A	0	Control	Control	Control	PostStandardization
M064	2G	23	Control	FMT-GOS	Control+FMT-GOS	PostC.diffDay2
M065	6D	12	GOS	Consortium	GOS+Consortium	PostFMTD5
M066	7D	31	GOS	Consortium	GOS+Consortium	EndpointColonContent
M067	2A	26	Control	Control	Control	PostC.diffDay5
M068	6C	23	Control	Consortium	Control+Consortium	PostC.diffDay2
M069	2G	29	Control	FMT-GOS	Control+FMT-GOS	PostC.diffDay8
M070	4D	21	GOS	Consortium	GOS+Consortium	PreC.diff-PostFMT2
M071	5A	0	Control	Control	Control	PostStandardization
M072	4G	13	Control	FMT-GOS	Control+FMT-GOS	PostFMTD6
M073	1H	14	GOS	FMT-GOS	GOS+FMT-GOS	PostFMTD7-PreAntibiotics
M074	1D	7	GOS	Consortium	GOS+Consortium	PreFMT
M075	6E	28	Control	FMT-control	Control+FMT-control	PostC.diffDay7
M076	3B	22	GOS	Control	GOS	PostC.diffDay1-PreFMT3
M077	3H	26	GOS	FMT-GOS	GOS+FMT-GOS	PostC.diffDay5
M078	4F	9	GOS	FMT-control	GOS+FMT-control	PostFMTD2
M079	5G	8	Control	FMT-GOS	Control+FMT-GOS	PostFMTD1
M080	3D	29	GOS	Consortium	GOS+Consortium	PostC.diffDay8
M081	3A	9	Control	Control	Control	PostFMTD2
M082	5C	9	Control	Consortium	Control+Consortium	PostFMTD2
M083	2D	27	GOS	Consortium	GOS+Consortium	PostC.diffDay6
M084	1G	12	Control	FMT-GOS	Control+FMT-GOS	PostFMTD5
M085	5A	23	Control	Control	Control	PostC.diffDay2
M086	3A	21	Control	Control	Control	PreC.diff-PostFMT2
M087	1A	0	Control	Control	Control	PostStandardization
M088	2B	13	GOS	Control	GOS	PostFMTD6
M089	6C	28	Control	Consortium	Control+Consortium	PostC.diffDay7
M090	3C	0	Control	Consortium	Control+Consortium	PostStandardization
M091	6D	21	GOS	Consortium	GOS+Consortium	PreC.diff-PostFMT2
M092	5F	26	GOS	FMT-control	GOS+FMT-control	PostC.diffDay5
M093	6F	8	GOS	FMT-control	GOS+FMT-control	PostFMTD1
M094	6D	0	GOS	Consortium	GOS+Consortium	PostStandardization
M095	7C	22	Control	Consortium	Control+Consortium	PostC.diffDay1-PreFMT3
M097	6D	26	GOS	Consortium	GOS+Consortium	PostC.diffDay5
M098	6H	26	GOS	FMT-GOS	GOS+FMT-GOS	PostC.diffDay5
M099	6H	23	GOS	FMT-GOS	GOS+FMT-GOS	PostC.diffDay2
M100	4D	28	GOS	Consortium	GOS+Consortium	PostC.diffDay7
M101	5A	7	Control	Control	Control	PreFMT
M102	1B	28	GOS	Control	GOS	PostC.diffDay7
M103	4F	12	GOS	FMT-control	GOS+FMT-control	PostFMTD5
M104	2H	26	GOS	FMT-GOS	GOS+FMT-GOS	PostC.diffDay5
M105	5F	29	GOS	FMT-control	GOS+FMT-control	PostC.diffDay8
M106	3A	22	Control	Control	Control	PostC.diffDay1-PreFMT3
M107	8D	30	GOS	Consortium	GOS+Consortium	PostC.diffDay9
M108	2F	12	GOS	FMT-control	GOS+FMT-control	PostFMTD5
M109	4A	13	Control	Control	Control	PostFMTD6
M110	2D	13	GOS	Consortium	GOS+Consortium	PostFMTD6
M111	4C	7	Control	Consortium	Control+Consortium	PreFMT
M112	1D	21	GOS	Consortium	GOS+Consortium	PreC.diff-PostFMT2
M113	2A	12	Control	Control	Control	PostFMTD5
M114	3A	27	Control	Control	Control	PostC.diffDay6
M115	4G	28	Control	FMT-GOS	Control+FMT-GOS	PostC.diffDay7
M116	1G	0	Control	FMT-GOS	Control+FMT-GOS	PostStandardization
M117	2B	12	GOS	Control	GOS	PostFMTD5
M118	1D	0	GOS	Consortium	GOS+Consortium	PostStandardization
M119	6H	22	GOS	FMT-GOS	GOS+FMT-GOS	PostC.diffDay1-PreFMT3
M120	2F	21	GOS	FMT-control	GOS+FMT-control	PreC.diff-PostFMT2
M121	8D	28	GOS	Consortium	GOS+Consortium	PostC.diffDay7
M122	5D	26	GOS	Consortium	GOS+Consortium	PostC.diffDay5
M123	1B	9	GOS	Control	GOS	PostFMTD2
M124	1A	9	Control	Control	Control	PostFMTD2
M125	4C	9	Control	Consortium	Control+Consortium	PostFMTD2
M126	4E	29	Control	FMT-control	Control+FMT-control	PostC.diffDay8
M127	1E	0	Control	FMT-control	Control+FMT-control	PostStandardization
M128	1G	21	Control	FMT-GOS	Control+FMT-GOS	PreC.diff-PostFMT2
M129	1H	30	GOS	FMT-GOS	GOS+FMT-GOS	PostC.diffDay9
M130	5C	12	Control	Consortium	Control+Consortium	PostFMTD5
M131	7C	13	Control	Consortium	Control+Consortium	PostFMTD6
M132	6G	7	Control	FMT-GOS	Control+FMT-GOS	PreFMT
M133	6G	8	Control	FMT-GOS	Control+FMT-GOS	PostFMTD1
M134	4E	28	Control	FMT-control	Control+FMT-control	PostC.diffDay7
M135	3G	30	Control	FMT-GOS	Control+FMT-GOS	PostC.diffDay9
M136	7D	22	GOS	Consortium	GOS+Consortium	PostC.diffDay1-PreFMT3
M137	1F	23	GOS	FMT-control	GOS+FMT-control	PostC.diffDay2
M138	6F	0	GOS	FMT-control	GOS+FMT-control	PostStandardization
M139	5G	7	Control	FMT-GOS	Control+FMT-GOS	PreFMT
M140	7C	23	Control	Consortium	Control+Consortium	PostC.diffDay2
M141	7C	14	Control	Consortium	Control+Consortium	PostFMTD7-PreAntibiotics
M142	1C	31	Control	Consortium	Control+Consortium	EndpointColonContent
M143	6F	14	GOS	FMT-control	GOS+FMT-control	PostFMTD7-PreAntibiotics
M144	1G	7	Control	FMT-GOS	Control+FMT-GOS	PreFMT
M145	6G	26	Control	FMT-GOS	Control+FMT-GOS	PostC.diffDay5
M146	3G	26	Control	FMT-GOS	Control+FMT-GOS	PostC.diffDay5
M147	1C	14	Control	Consortium	Control+Consortium	PostFMTD7-PreAntibiotics
M148	6D	14	GOS	Consortium	GOS+Consortium	PostFMTD7-PreAntibiotics
M149	2F	30	GOS	FMT-control	GOS+FMT-control	PostC.diffDay9
M150	5F	27	GOS	FMT-control	GOS+FMT-control	PostC.diffDay6
M151	8C	13	Control	Consortium	Control+Consortium	PostFMTD6
M152	7C	27	Control	Consortium	Control+Consortium	PostC.diffDay6
M153	8C	29	Control	Consortium	Control+Consortium	PostC.diffDay8
M154	3D	26	GOS	Consortium	GOS+Consortium	PostC.diffDay5
M155	7C	30	Control	Consortium	Control+Consortium	PostC.diffDay9
M156	2B	31	GOS	Control	GOS	EndpointColonContent
M157	3A	12	Control	Control	Control	PostFMTD5
M158	1H	26	GOS	FMT-GOS	GOS+FMT-GOS	PostC.diffDay5
M159	1B	7	GOS	Control	GOS	PreFMT
M160	1A	21	Control	Control	Control	PreC.diff-PostFMT2
M161	4D	0	GOS	Consortium	GOS+Consortium	PostStandardization
M162	1A	26	Control	Control	Control	PostC.diffDay5
M163	5G	0	Control	FMT-GOS	Control+FMT-GOS	PostStandardization
M164	2D	29	GOS	Consortium	GOS+Consortium	PostC.diffDay8
M165	5G	30	Control	FMT-GOS	Control+FMT-GOS	PostC.diffDay9
M166	3H	27	GOS	FMT-GOS	GOS+FMT-GOS	PostC.diffDay6
M167	2A	7	Control	Control	Control	PreFMT
M168	6G	12	Control	FMT-GOS	Control+FMT-GOS	PostFMTD5
M169	1F	13	GOS	FMT-control	GOS+FMT-control	PostFMTD6
M170	5E	0	Control	FMT-control	Control+FMT-control	PostStandardization
M171	5H	27	GOS	FMT-GOS	GOS+FMT-GOS	PostC.diffDay6
M172	1C	27	Control	Consortium	Control+Consortium	PostC.diffDay6
M173	3H	7	GOS	FMT-GOS	GOS+FMT-GOS	PreFMT
M174	2C	9	Control	Consortium	Control+Consortium	PostFMTD2
M175	2F	26	GOS	FMT-control	GOS+FMT-control	PostC.diffDay5
M176	2A	13	Control	Control	Control	PostFMTD6
M177	3D	21	GOS	Consortium	GOS+Consortium	PreC.diff-PostFMT2
M178	1C	0	Control	Consortium	Control+Consortium	PostStandardization
M179	2E	28	Control	FMT-control	Control+FMT-control	PostC.diffDay7
M180	4H	29	GOS	FMT-GOS	GOS+FMT-GOS	PostC.diffDay8
M181	4F	30	GOS	FMT-control	GOS+FMT-control	PostC.diffDay9
M182	1E	28	Control	FMT-control	Control+FMT-control	PostC.diffDay7
M183	1F	30	GOS	FMT-control	GOS+FMT-control	PostC.diffDay9
M184	1B	8	GOS	Control	GOS	PostFMTD1
M185	1A	13	Control	Control	Control	PostFMTD6
M186	3A	13	Control	Control	Control	PostFMTD6
M187	5H	21	GOS	FMT-GOS	GOS+FMT-GOS	PreC.diff-PostFMT2
M188	3A	30	Control	Control	Control	PostC.diffDay9
M189	6G	23	Control	FMT-GOS	Control+FMT-GOS	PostC.diffDay2
M190	3B	27	GOS	Control	GOS	PostC.diffDay6
M193	4D	26	GOS	Consortium	GOS+Consortium	PostC.diffDay5
M194	1D	28	GOS	Consortium	GOS+Consortium	PostC.diffDay7
M195	1E	9	Control	FMT-control	Control+FMT-control	PostFMTD2
M196	2C	14	Control	Consortium	Control+Consortium	PostFMTD7-PreAntibiotics
M197	6F	30	GOS	FMT-control	GOS+FMT-control	PostC.diffDay9
M198	2C	31	Control	Consortium	Control+Consortium	EndpointColonContent
M199	5A	30	Control	Control	Control	PostC.diffDay9
M200	4C	13	Control	Consortium	Control+Consortium	PostFMTD6
M201	4H	0	GOS	FMT-GOS	GOS+FMT-GOS	PostStandardization
M202	1F	31	GOS	FMT-control	GOS+FMT-control	EndpointColonContent
M203	2D	26	GOS	Consortium	GOS+Consortium	PostC.diffDay5
M204	4H	28	GOS	FMT-GOS	GOS+FMT-GOS	PostC.diffDay7
M205	2H	22	GOS	FMT-GOS	GOS+FMT-GOS	PostC.diffDay1-PreFMT3
M206	8C	31	Control	Consortium	Control+Consortium	EndpointColonContent
M207	2D	8	GOS	Consortium	GOS+Consortium	PostFMTD1
M208	6E	13	Control	FMT-control	Control+FMT-control	PostFMTD6
M209	5A	8	Control	Control	Control	PostFMTD1
M210	4E	7	Control	FMT-control	Control+FMT-control	PreFMT
M211	1F	29	GOS	FMT-control	GOS+FMT-control	PostC.diffDay8
M212	2C	0	Control	Consortium	Control+Consortium	PostStandardization
M213	2F	7	GOS	FMT-control	GOS+FMT-control	PreFMT
M214	7C	12	Control	Consortium	Control+Consortium	PostFMTD5
M215	6F	28	GOS	FMT-control	GOS+FMT-control	PostC.diffDay7
M216	4G	29	Control	FMT-GOS	Control+FMT-GOS	PostC.diffDay8
M217	7C	28	Control	Consortium	Control+Consortium	PostC.diffDay7
M218	5A	27	Control	Control	Control	PostC.diffDay6
M219	2H	8	GOS	FMT-GOS	GOS+FMT-GOS	PostFMTD1
M220	7C	21	Control	Consortium	Control+Consortium	PreC.diff-PostFMT2
M221	6E	31	Control	FMT-control	Control+FMT-control	EndpointColonContent
M222	2A	31	Control	Control	Control	EndpointColonContent
M223	6C	21	Control	Consortium	Control+Consortium	PreC.diff-PostFMT2
M224	2C	21	Control	Consortium	Control+Consortium	PreC.diff-PostFMT2
M225	6C	9	Control	Consortium	Control+Consortium	PostFMTD2
M226	3E	30	Control	FMT-control	Control+FMT-control	PostC.diffDay9
M227	8D	0	GOS	Consortium	GOS+Consortium	PostStandardization
M228	6C	13	Control	Consortium	Control+Consortium	PostFMTD6
M229	2G	28	Control	FMT-GOS	Control+FMT-GOS	PostC.diffDay7
M230	3D	13	GOS	Consortium	GOS+Consortium	PostFMTD6
M231	3H	0	GOS	FMT-GOS	GOS+FMT-GOS	PostStandardization
M232	1D	12	GOS	Consortium	GOS+Consortium	PostFMTD5
M233	1B	30	GOS	Control	GOS	PostC.diffDay9
M234	8C	27	Control	Consortium	Control+Consortium	PostC.diffDay6
M235	5D	9	GOS	Consortium	GOS+Consortium	PostFMTD2
M236	3D	27	GOS	Consortium	GOS+Consortium	PostC.diffDay6
M237	6E	27	Control	FMT-control	Control+FMT-control	PostC.diffDay6
M238	4E	13	Control	FMT-control	Control+FMT-control	PostFMTD6
M239	2D	14	GOS	Consortium	GOS+Consortium	PostFMTD7-PreAntibiotics
M240	2F	8	GOS	FMT-control	GOS+FMT-control	PostFMTD1
M241	3F	31	GOS	FMT-control	GOS+FMT-control	EndpointColonContent
M242	2D	22	GOS	Consortium	GOS+Consortium	PostC.diffDay1-PreFMT3
M243	6C	30	Control	Consortium	Control+Consortium	PostC.diffDay9
M244	1D	22	GOS	Consortium	GOS+Consortium	PostC.diffDay1-PreFMT3
M245	4A	29	Control	Control	Control	PostC.diffDay8
M246	1H	0	GOS	FMT-GOS	GOS+FMT-GOS	PostStandardization
M247	2B	21	GOS	Control	GOS	PreC.diff-PostFMT2
M248	1F	27	GOS	FMT-control	GOS+FMT-control	PostC.diffDay6
M249	5D	8	GOS	Consortium	GOS+Consortium	PostFMTD1
M250	4A	12	Control	Control	Control	PostFMTD5
M251	4D	30	GOS	Consortium	GOS+Consortium	PostC.diffDay9
M252	5C	27	Control	Consortium	Control+Consortium	PostC.diffDay6
M253	6F	27	GOS	FMT-control	GOS+FMT-control	PostC.diffDay6
M254	2D	9	GOS	Consortium	GOS+Consortium	PostFMTD2
M255	5G	22	Control	FMT-GOS	Control+FMT-GOS	PostC.diffDay1-PreFMT3
M256	2H	31	GOS	FMT-GOS	GOS+FMT-GOS	EndpointColonContent
M257	1E	30	Control	FMT-control	Control+FMT-control	PostC.diffDay9
M258	2H	0	GOS	FMT-GOS	GOS+FMT-GOS	PostStandardization
M259	3G	28	Control	FMT-GOS	Control+FMT-GOS	PostC.diffDay7
M260	5C	31	Control	Consortium	Control+Consortium	EndpointColonContent
M261	5H	0	GOS	FMT-GOS	GOS+FMT-GOS	PostStandardization
M262	1B	0	GOS	Control	GOS	PostStandardization
M263	1D	30	GOS	Consortium	GOS+Consortium	PostC.diffDay9
M264	4F	27	GOS	FMT-control	GOS+FMT-control	PostC.diffDay6
M265	5E	13	Control	FMT-control	Control+FMT-control	PostFMTD6
M266	3E	13	Control	FMT-control	Control+FMT-control	PostFMTD6
M267	2B	9	GOS	Control	GOS	PostFMTD2
M268	6G	28	Control	FMT-GOS	Control+FMT-GOS	PostC.diffDay7
M269	2D	12	GOS	Consortium	GOS+Consortium	PostFMTD5
M270	3E	7	Control	FMT-control	Control+FMT-control	PreFMT
M271	5D	21	GOS	Consortium	GOS+Consortium	PreC.diff-PostFMT2
M272	1G	23	Control	FMT-GOS	Control+FMT-GOS	PostC.diffDay2
M273	2A	30	Control	Control	Control	PostC.diffDay9
M274	3B	0	GOS	Control	GOS	PostStandardization
M275	2G	31	Control	FMT-GOS	Control+FMT-GOS	EndpointColonContent
M276	4A	9	Control	Control	Control	PostFMTD2
M277	1G	8	Control	FMT-GOS	Control+FMT-GOS	PostFMTD1
M278	4F	28	GOS	FMT-control	GOS+FMT-control	PostC.diffDay7
M279	3F	28	GOS	FMT-control	GOS+FMT-control	PostC.diffDay7
M280	2G	26	Control	FMT-GOS	Control+FMT-GOS	PostC.diffDay5
M281	4D	14	GOS	Consortium	GOS+Consortium	PostFMTD7-PreAntibiotics
M282	6G	27	Control	FMT-GOS	Control+FMT-GOS	PostC.diffDay6
M283	4C	28	Control	Consortium	Control+Consortium	PostC.diffDay7
M284	5H	7	GOS	FMT-GOS	GOS+FMT-GOS	PreFMT
M285	8D	13	GOS	Consortium	GOS+Consortium	PostFMTD6
M286	5F	12	GOS	FMT-control	GOS+FMT-control	PostFMTD5
M289	6D	27	GOS	Consortium	GOS+Consortium	PostC.diffDay6
M290	4C	12	Control	Consortium	Control+Consortium	PostFMTD5
M291	3F	27	GOS	FMT-control	GOS+FMT-control	PostC.diffDay6
M292	1F	22	GOS	FMT-control	GOS+FMT-control	PostC.diffDay1-PreFMT3
M293	1E	13	Control	FMT-control	Control+FMT-control	PostFMTD6
M294	4D	31	GOS	Consortium	GOS+Consortium	EndpointColonContent
M295	1G	9	Control	FMT-GOS	Control+FMT-GOS	PostFMTD2
M296	5G	9	Control	FMT-GOS	Control+FMT-GOS	PostFMTD2
M297	3G	29	Control	FMT-GOS	Control+FMT-GOS	PostC.diffDay8
M298	3E	31	Control	FMT-control	Control+FMT-control	EndpointColonContent
M299	6G	14	Control	FMT-GOS	Control+FMT-GOS	PostFMTD7-PreAntibiotics
M300	6F	7	GOS	FMT-control	GOS+FMT-control	PreFMT
M301	2B	22	GOS	Control	GOS	PostC.diffDay1-PreFMT3
M302	1C	22	Control	Consortium	Control+Consortium	PostC.diffDay1-PreFMT3
M303	5H	26	GOS	FMT-GOS	GOS+FMT-GOS	PostC.diffDay5
M304	5H	14	GOS	FMT-GOS	GOS+FMT-GOS	PostFMTD7-PreAntibiotics
M305	2E	8	Control	FMT-control	Control+FMT-control	PostFMTD1
M306	3H	30	GOS	FMT-GOS	GOS+FMT-GOS	PostC.diffDay9
M307	2F	27	GOS	FMT-control	GOS+FMT-control	PostC.diffDay6
M308	5F	9	GOS	FMT-control	GOS+FMT-control	PostFMTD2
M309	3A	29	Control	Control	Control	PostC.diffDay8
M310	1D	23	GOS	Consortium	GOS+Consortium	PostC.diffDay2
M311	5H	23	GOS	FMT-GOS	GOS+FMT-GOS	PostC.diffDay2
M312	1F	9	GOS	FMT-control	GOS+FMT-control	PostFMTD2
M313	6E	29	Control	FMT-control	Control+FMT-control	PostC.diffDay8
M314	4F	13	GOS	FMT-control	GOS+FMT-control	PostFMTD6
M315	8D	21	GOS	Consortium	GOS+Consortium	PreC.diff-PostFMT2
M316	2D	31	GOS	Consortium	GOS+Consortium	EndpointColonContent
M317	1E	14	Control	FMT-control	Control+FMT-control	PostFMTD7-PreAntibiotics
M318	5A	14	Control	Control	Control	PostFMTD7-PreAntibiotics
M319	4H	21	GOS	FMT-GOS	GOS+FMT-GOS	PreC.diff-PostFMT2
M320	2C	12	Control	Consortium	Control+Consortium	PostFMTD5
M321	8C	23	Control	Consortium	Control+Consortium	PostC.diffDay2
M322	3B	23	GOS	Control	GOS	PostC.diffDay2
M323	2A	14	Control	Control	Control	PostFMTD7-PreAntibiotics
M324	7D	12	GOS	Consortium	GOS+Consortium	PostFMTD5
M325	6C	29	Control	Consortium	Control+Consortium	PostC.diffDay8
M326	4F	7	GOS	FMT-control	GOS+FMT-control	PreFMT
M327	5C	26	Control	Consortium	Control+Consortium	PostC.diffDay5
M328	5E	26	Control	FMT-control	Control+FMT-control	PostC.diffDay5
M329	5E	30	Control	FMT-control	Control+FMT-control	PostC.diffDay9
M330	6C	31	Control	Consortium	Control+Consortium	EndpointColonContent
M331	2E	30	Control	FMT-control	Control+FMT-control	PostC.diffDay9
M332	2F	31	GOS	FMT-control	GOS+FMT-control	EndpointColonContent
M333	5C	14	Control	Consortium	Control+Consortium	PostFMTD7-PreAntibiotics
M334	1C	23	Control	Consortium	Control+Consortium	PostC.diffDay2
M335	1C	8	Control	Consortium	Control+Consortium	PostFMTD1
M336	3B	29	GOS	Control	GOS	PostC.diffDay8
M337	6H	28	GOS	FMT-GOS	GOS+FMT-GOS	PostC.diffDay7
M338	3B	28	GOS	Control	GOS	PostC.diffDay7
M339	GOSFMT	-1	NA	NA	GOS+FMT	
M340	2G	13	Control	FMT-GOS	Control+FMT-GOS	PostFMTD6
M341	8D	9	GOS	Consortium	GOS+Consortium	PostFMTD2
M342	1D	14	GOS	Consortium	GOS+Consortium	PostFMTD7-PreAntibiotics
M343	3E	0	Control	FMT-control	Control+FMT-control	PostStandardization
M344	1H	31	GOS	FMT-GOS	GOS+FMT-GOS	EndpointColonContent
M345	4H	30	GOS	FMT-GOS	GOS+FMT-GOS	PostC.diffDay9
M346	5E	12	Control	FMT-control	Control+FMT-control	PostFMTD5
M347	5H	31	GOS	FMT-GOS	GOS+FMT-GOS	EndpointColonContent
M348	3D	0	GOS	Consortium	GOS+Consortium	PostStandardization
M349	2G	12	Control	FMT-GOS	Control+FMT-GOS	PostFMTD5
M350	3E	9	Control	FMT-control	Control+FMT-control	PostFMTD2
M351	2E	27	Control	FMT-control	Control+FMT-control	PostC.diffDay6
M352	3C	12	Control	Consortium	Control+Consortium	PostFMTD5
M353	4D	22	GOS	Consortium	GOS+Consortium	PostC.diffDay1-PreFMT3
M354	2F	13	GOS	FMT-control	GOS+FMT-control	PostFMTD6
M355	1B	13	GOS	Control	GOS	PostFMTD6
M356	3F	30	GOS	FMT-control	GOS+FMT-control	PostC.diffDay9
M357	7C	7	Control	Consortium	Control+Consortium	PreFMT
M358	3G	0	Control	FMT-GOS	Control+FMT-GOS	PostStandardization
M359	5G	26	Control	FMT-GOS	Control+FMT-GOS	PostC.diffDay5
M360	2H	7	GOS	FMT-GOS	GOS+FMT-GOS	PreFMT
M361	5G	27	Control	FMT-GOS	Control+FMT-GOS	PostC.diffDay6
M362	2H	12	GOS	FMT-GOS	GOS+FMT-GOS	PostFMTD5
M363	3D	23	GOS	Consortium	GOS+Consortium	PostC.diffDay2
M364	2A	9	Control	Control	Control	PostFMTD2
M365	3F	14	GOS	FMT-control	GOS+FMT-control	PostFMTD7-PreAntibiotics
M366	4F	14	GOS	FMT-control	GOS+FMT-control	PostFMTD7-PreAntibiotics
M367	5H	29	GOS	FMT-GOS	GOS+FMT-GOS	PostC.diffDay8
M368	1B	26	GOS	Control	GOS	PostC.diffDay5
M369	2C	28	Control	Consortium	Control+Consortium	PostC.diffDay7
M370	2H	9	GOS	FMT-GOS	GOS+FMT-GOS	PostFMTD2
M371	7D	9	GOS	Consortium	GOS+Consortium	PostFMTD2
M372	2H	23	GOS	FMT-GOS	GOS+FMT-GOS	PostC.diffDay2
M373	5D	7	GOS	Consortium	GOS+Consortium	PreFMT
M374	2F	29	GOS	FMT-control	GOS+FMT-control	PostC.diffDay8
M375	6F	31	GOS	FMT-control	GOS+FMT-control	EndpointColonContent
M376	5C	21	Control	Consortium	Control+Consortium	PreC.diff-PostFMT2
M377	5G	31	Control	FMT-GOS	Control+FMT-GOS	EndpointColonContent
M378	4C	31	Control	Consortium	Control+Consortium	EndpointColonContent
M379	8D	22	GOS	Consortium	GOS+Consortium	PostC.diffDay1-PreFMT3
M380	4E	22	Control	FMT-control	Control+FMT-control	PostC.diffDay1-PreFMT3
M381	6C	8	Control	Consortium	Control+Consortium	PostFMTD1
M382	3G	12	Control	FMT-GOS	Control+FMT-GOS	PostFMTD5
M385	4C	22	Control	Consortium	Control+Consortium	PostC.diffDay1-PreFMT3
M386	3D	14	GOS	Consortium	GOS+Consortium	PostFMTD7-PreAntibiotics
M387	6E	7	Control	FMT-control	Control+FMT-control	PreFMT
M388	5A	12	Control	Control	Control	PostFMTD5
M389	6H	30	GOS	FMT-GOS	GOS+FMT-GOS	PostC.diffDay9
M390	2C	27	Control	Consortium	Control+Consortium	PostC.diffDay6
M391	5A	31	Control	Control	Control	EndpointColonContent
M392	6F	12	GOS	FMT-control	GOS+FMT-control	PostFMTD5
M393	3H	22	GOS	FMT-GOS	GOS+FMT-GOS	PostC.diffDay1-PreFMT3
M394	2C	26	Control	Consortium	Control+Consortium	PostC.diffDay5
M395	1A	28	Control	Control	Control	PostC.diffDay7
M396	3A	14	Control	Control	Control	PostFMTD7-PreAntibiotics
M397	1H	8	GOS	FMT-GOS	GOS+FMT-GOS	PostFMTD1
M398	3E	26	Control	FMT-control	Control+FMT-control	PostC.diffDay5
